46,418.11,455.98,62.37,330.56,85.13,529.78,133.55,15.41,607.08,148.74,924.58,298.19,77.52,510.2,26.52
47,421.57,445.82,61.09,335.52,80.83,528.61,133.08,15.61,602.76,149,920.65,296.71,78.28,513.1,26.19
48,421.57,445.82,61.09,335.52,80.83,528.61,133.08,15.61,602.76,149,920.65,296.71,78.28,513.1,26.19
49,421.57,445.82,61.09,335.52,80.83,528.61,133.08,15.61,602.76,149,920.65,296.71,78.28,513.1,26.19
50,426.45,448.47,60.89,330.86,76.93,530.62,133.65,15.58,594.54,147.53,911.8,294.68,77.52,504.04,25.98
51,424.88,456.07,61.69,329.28,78.05,546.36,132.43,15.65,595.06,145.77,919.08,294.22,77.73,513.14,25.98
52,422.2,453.71,61.05,328.49,78.44,543.67,132.57,16.11,588.63,144.45,910.4,296.7,79.62,513,25.69
53,422.59,455.3,60.22,324.67,76.65,554.87,133.01,16.59,600.65,141.41,920.48,295.19,78.74,517.42,25.54
54,408.67,456.65,60.01,323.13,73.59,550.17,133.03,17.17,597.6,143.12,926.92,294.35,77.61,506.89,25.44
55,408.67,456.65,60.01,323.13,73.59,550.17,133.03,17.17,597.6,143.12,926.92,294.35,77.61,506.89,25.44
56,408.67,456.65,60.01,323.13,73.59,550.17,133.03,17.17,597.6,143.12,926.92,294.35,77.61,506.89,25.44
57,428.46,455.45,60.75,334.77,74.98,573.9,133.66,17.08,594.87,146.83,952.72,297.99,78.02,518.84,25.86
58,431.6,446.2,59.4,327.17,73.15,558.6,132.87,16.91,597.08,142.93,927.68,292.93,78.02,511.63,25.09
59,432.98,444.86,59.17,342.33,75.74,567.28,133.49,17.09,600.83,144.16,930.16,295.2,78.36,506.85,25.21
60,443.01,456.17,61.15,348.93,78.72,575.87,133.66,17.72,598.39,146.27,941.8,299.85,78.82,512.41,25.59
61,440.77,465.55,62.21,349.54,79.52,572.94,133.69,17.99,591.96,149.74,950.21,300.44,78.82,519.07,25.59
62,440.77,465.55,62.21,349.54,79.52,572.94,133.69,17.99,591.96,149.74,950.21,300.44,78.82,519.07,25.59
63,440.77,465.55,62.21,349.54,79.52,572.94,133.69,17.99,591.96,149.74,950.21,300.44,78.82,519.07,25.59
64,442.58,451.69,61.14,350.95,80.35,583.5,133.65,17.78,587.55,151.73,957.82,302.15,77.35,538.69,25.43
65,436.4,447.84,61.57,350.64,82.94,581.45,133.65,17.95,588.21,154.7,962.92,305.12,78.78,541.08,25.37
66,435.77,442.79,59.77,343.21,82.02,578.88,133.65,17.37,584.41,154.83,957.74,303.73,77.61,533.82,25.04
67,435.77,442.79,59.77,343.21,82.02,578.88,133.65,17.37,584.41,157.5,957.74,303.73,77.61,533.82,25.04
68,443.56,440.57,59.02,343.21,80.35,591.77,133.65,17.66,585.72,156.43,941.89,308.03,78.44,529.09,24.93
69,443.56,440.57,59.02,343.21,80.35,591.77,133.65,17.66,585.72,156.43,941.89,308.03,78.44,529.09,24.93
70,443.56,440.57,59.02,343.21,80.35,591.77,133.65,17.66,585.72,156.43,941.89,308.03,78.44,529.09,24.93
71,452.3,436.87,59.33,337.68,80.04,589.52,133.65,17.75,584.92,160.71,946.78,313.3,78.02,519.85,24.66
72,443.76,432.68,58.26,336.27,77.57,587.63,132.95,17.75,610.31,158.99,940.26,311.31,76.98,505.01,24.33
73,435.62,433.06,58.31,352.4,77.17,584.62,133.66,17.72,643.12,159.15,932.73,313.34,76.64,495.45,24.11
74,435.62,433.06,58.31,352.4,75.62,584.62,133.66,17.72,643.12,158.37,932.73,313.34,76.64,495.45,24.11
75,424.17,431.28,58.84,363.03,73.83,584.46,133.74,17.57,646.87,158.34,935.64,316.93,75.26,493.11,24.03
76,424.17,431.28,58.84,363.03,73.83,584.46,133.74,17.57,646.87,158.34,935.64,316.93,75.26,493.11,24.03
77,424.17,431.28,58.84,363.03,73.83,584.46,133.74,17.57,646.87,158.34,935.64,316.93,75.26,493.11,24.03
78,421.61,412.94,57.52,358.99,74.23,580.37,129.75,16.96,646.26,155.85,951.21,314.29,73.96,491.91,23.88
